t [s],Step_Time(s),I [A],V [V]
9041.397413,130.2974367,0.412788361,3.206816196
9042.399493,131.2995113,0.412607908,3.206508398
9043.401523,132.30154,0.412788361,3.2062006
9044.403543,133.3035618,0.412607908,3.2062006
9045.406363,134.3063836,0.412607908,3.205892801
9046.409633,135.3096534,0.412607908,3.205892801
9047.413653,136.3136701,0.412788361,3.205585241
9048.413843,137.3138587,0.412607908,3.205585241
9049.416753,138.3167756,0.412607908,3.205277443
9050.417933,139.3179528,0.412607908,3.205277443
9051.427943,140.3279671,0.412788361,3.204969645
9052.428973,141.3289938,0.412607908,3.204969645
9053.439273,142.3392965,0.412607908,3.204969645
9054.441033,143.341055,0.412607908,3.204661846
9055.442133,144.3421567,0.412607908,3.204661846
9056.443093,145.3431168,0.412607908,3.204661846
9057.443183,146.3431996,0.412607908,3.204661846
9058.445233,147.3452553,0.412607908,3.204661846
9059.446353,148.3463697,0.412607908,3.204354048
9060.448313,149.3483296,0.412607908,3.204354048
9061.448343,150.3483588,0.412788361,3.204354048
9062.448533,151.3485521,0.412607908,3.204046249
9063.451503,152.3515209,0.412427455,3.204046249
9064.452533,153.3525483,0.412607908,3.203738451
9065.453563,154.3535781,0.412788361,3.203430653
9066.453593,155.3536101,0.412607908,3.204046249
9067.453643,156.3536659,0.412607908,3.203738451
9068.454703,157.3547241,0.412427455,3.204046249
9069.456733,158.3567486,0.412788361,3.203430653
9070.458793,159.3588166,0.412607908,3.203738451
9071.461883,160.3619036,0.412427455,3.203430653
9072.464143,161.3641579,0.412607908,3.203738451
9073.465013,162.3650287,0.412607908,3.203430653
9074.466013,163.3660331,0.412788361,3.203123093
9075.466103,164.366122,0.412607908,3.203430653
9076.467083,165.3671064,0.412607908,3.203123093
9077.467183,166.3672014,0.412788361,3.202815294
9078.467233,167.3672503,0.412788361,3.202815294
9079.467333,168.3673531,0.412788361,3.203123093
9080.467373,169.3673947,0.825305939,3.131412506
9081.468413,170.3684364,0.825125515,3.130796909
9082.469523,171.3695439,0.824945033,3.130181313
9083.471543,172.3715634,0.825125515,3.129257917
9084.473553,173.3735691,0.825125515,3.129257917
9085.475643,174.3756575,0.825125515,3.128334761
9086.477643,175.3776619,0.825125515,3.128026962
9087.479693,176.3797088,0.825125515,3.127411366
9088.482833,177.3828551,0.825305939,3.127103567
9089.492783,178.3928028,0.825125515,3.126795769
9090.493043,179.3930642,0.825125515,3.126795769
9091.502913,180.4029322,0.825125515,3.12618041
9092.503893,181.40391,-0.412246823,3.339773178
9093.505063,182.4050784,-0.412246823,3.341927528
9094.506093,183.4061128,-0.41206637,3.34346652
9095.516083,184.4161056,-0.412427276,3.345005274
9096.519253,185.4192769,-0.412427276,3.346236467
9097.520223,186.4202439,-0.412246823,3.346851826
9098.521233,187.4212555,-0.412607729,3.348083019
9099.522283,188.4223046,-0.412246823,3.348698616
9100.523393,189.4234144,0.000270769,3.278526783
9101.523423,190.4234394,0.000270769,3.278526783
9102.526403,191.4264236,0.000812131,3.278526783
9103.528593,192.4286083,0.000270769,3.278834581
9104.529673,193.4296927,0.0000903,3.27914238
9105.530543,194.4305662,0.000270769,3.27914238
9106.530693,195.4307148,0.000451223,3.279450178
9107.533663,196.4336847,0.000270769,3.279757977
9108.534733,197.4347503,0.000451223,3.280065775
9109.534853,198.434872,0.000270769,3.280373335
9110.544843,199.444859,0.000451223,3.280373335
9111.544883,200.4448975,0.000270769,3.280373335
9112.547033,201.4470563,0.000451223,3.280373335
9113.548093,202.4481111,0.000451223,3.280681133
9114.550043,203.450064,0.000451223,3.280988932
9115.551223,204.4512424,0.000451223,3.280988932
9116.552253,205.4522737,0.412607908,3.209893942
9117.554243,206.4542658,0.412788361,3.209278345
9118.555383,207.4554018,0.412607908,3.208970547
9119.557293,208.4573078,0.412788361,3.208662748
9120.557343,209.4573609,0.412788361,3.20804739
9121.557553,210.4575699,0.412607908,3.207739592
9122.560473,211.4604879,0.412607908,3.207739592
9123.562543,212.4625633,0.412607908,3.207431793
9124.564603,213.4646232,0.412607908,3.207431793
9125.574593,214.4746144,0.412607908,3.207123995
9126.574613,215.4746294,0.412607908,3.206816196
9127.576773,216.4767948,0.412607908,3.206508398
9128.578743,217.4787574,0.412607908,3.2062006
9129.580793,218.4808119,0.412788361,3.2062006
9130.581813,219.4818278,0.412607908,3.2062006
9131.581883,220.4819067,0.412788361,3.205892801
9132.581933,221.4819521,0.412607908,3.205892801
9133.581943,222.4819606,0.412788361,3.205277443
9134.584043,223.4840598,0.412788361,3.205277443
9135.584093,224.4841171,0.412607908,3.205277443
9136.587273,225.4872969,0.412607908,3.205277443
9137.597223,226.4972454,0.412788361,3.204969645
9138.598493,227.4985123,0.412788361,3.204969645
9139.599333,228.4993565,0.412607908,3.204969645
9140.601353,229.5013718,0.412788361,3.204661846
9141.602343,230.5023642,0.412607908,3.204661846
9142.604433,231.5044569,0.412788361,3.204661846
9143.604483,232.5045015,0.412788361,3.204354048
9144.606513,233.5065353,0.412607908,3.204354048
9145.607623,234.507637,0.412607908,3.204661846
9146.607633,235.5076543,0.412607908,3.204354048
9147.607773,236.5077964,0.412607908,3.204046249
9148.608733,237.5087557,0.412607908,3.204046249
9149.609833,238.5098528,0.412607908,3.204046249
9150.610793,239.5108156,0.412788361,3.203738451
9151.611893,240.511912,0.412788361,3.203738451
9152.613933,241.5139561,3.299328804,2.702995539
9153.616953,242.5169704,3.299509287,2.697147846
